codigo;descricao;tipo_unid;tipo_fornecedor_id;estoque_min;estoque_atual;valor;fornecedor_id;validade_negociacao
3466;DESINFETANTE BRISOLIN LIMPA;GL;1;1;;63.99;18;2025-07-30
3467;ZEEKISS LIMPEZA DE USO GERAL;GL;1;1;;99.99;18;2025-07-30
3468;MASTER BAC LAVANDA;GL;1;1;;51.83;18;2025-07-30
3565;DESINFETANTE CLOR H;GL;1;1;;63.90;18;2025-07-30
3475;DETERGENTE DET ULTRA;GL;1;1;;55.92;18;2025-07-30
3536;MASTER STONE;GL;1;1;;85.90;18;2025-07-30
4205;GUARDANAPO GIS 144 ( HIGIENICO );CX;1;3;;150.52;18;2025-07-30
3443;LIMPADOR PEROXIDO  CIF;GL;1;1;;87.87;18;2025-07-30
4061;TIS 020 PAPEL TOALHA;CX;1;3;;38.15;18;2025-07-30
4109;PROTETOR DE ASSENTO;CX;1;2;;11.55;18;2025-07-30
4110;REFIL DESCARTAVEL ABSORVENTE;CX;1;1;;11.55;18;2025-07-30
3584;SABONETE ESPUMA 400 ML;CX;1;1;;13.67;18;2025-07-30
1052;GALAO DE ALCOOL EM GEL 5 LT;GL;1;1;;53.00;18;2025-07-30
